year,Granted patents
1918,1
1920,1
1922,1
1925,2
1926,1
1927,1
1930,2
1933,2
1934,3
1935,3
1937,3
1938,1
1939,1
1940,1
1941,2
1945,1
1946,1
1947,1
1948,3
1949,9
1950,5
1951,11
1952,2
1953,7
1954,3
1955,11
1956,10
1957,7
1958,8
1959,11
1960,8
1961,8
1962,10
1963,18
1964,17
1965,23
1966,34
1967,39
1968,36
1969,43
1970,43
1971,37
1972,69
1973,55
1974,45
1975,54
1976,61
1977,78
1978,95
1979,102
1980,156
1981,160
1982,196
1983,200
1984,225
1985,221
1986,217
1987,277
1988,289
1989,326
1990,377
1991,526
1992,559
1993,590
1994,596
1995,762
1996,1022
1997,1058
1998,1018
1999,1286
2000,1469
2001,1605
2002,1830
2003,2276
2004,2743
2005,2361
2006,2114
2007,1921
2008,1758
2009,1932
2010,1713
2011,1989
2012,2017
2013,2057
2014,2108
2015,2137
2016,1987
2017,2134
2018,2027
2019,2060
2020,1801
2021,1442
2022,873
2023,493
